Function     O3         O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-OPENMP    5942.863   905.797     5998.731  585.278     5909.364  1083.300    5909.364  1083.300
L2-OPENMP    6443.152   1688.609    6419.404  1677.561    6404.500  1981.286    6404.500  1981.286
L3-OPENMP    5688.149   12036.826   5497.019  14520.800   5499.653  9060.998    5499.653  9060.998

