Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-UNROLL8   6657.726   218.207     6661.915  98.759      6658.480  115.145     6658.480  115.145
L2-UNROLL8   6622.278   1225.868    6614.002  1602.375    6601.227  1416.877    6601.227  1416.877
L3-UNROLL8   5942.639   4096.768    5868.015  4600.201    5831.839  2449.590    5831.839  2449.590

