     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - UNROLL8;         128.000;           0.125;           0.000;       8192;         15;      653491.551;        9347.933;       10603.067;        9387.590;         218.207 ( 2.324 %);   6657.726
L2 - UNROLL8;        1024.000;           1.000;           0.001;      65536;         15;     7530165.756;       75052.933;       81112.467;       75502.717;        1225.868 ( 1.624 %);   6622.278
L3 - UNROLL8;        8192.000;           8.000;           0.008;     524288;         15;    73057173.505;      667364.800;      679376.067;      673101.586;        4096.768 ( 0.609 %);   5942.639
