Function        O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-UNROLL8    6662.717  62.796     6662.020  112.248    6668.359  47.864     6664.077  91.360
L2-UNROLL8    6603.836  1458.368   6604.050  1456.754   6611.949  1216.593   6594.008  1590.093
L3-UNROLL8    5827.366  4990.980   5806.194  2579.209   5805.164  4684.798   5829.831  2654.120
