     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1-UNROLL8;         128.000;           0.125;           0.000;       8192;        300;      134348.488;        3524.477;        3754.253;        3552.668;          63.855 ( 1.797 %);  17592.413
L2-UNROLL8;        1024.000;           1.000;           0.001;      65536;        300;     1879127.792;       28659.523;       28971.540;       28730.601;          80.855 ( 0.281 %);  17403.047
L3-UNROLL8;        8192.000;           8.000;           0.008;     524288;        300;     6113940.605;      267640.387;      271385.543;      268868.187;         851.165 ( 0.317 %);  14877.178
