     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1-UNROLL4;         128.000;           0.125;           0.000;       8192;        300;       90354.471;        9335.247;        9490.493;        9397.398;          64.824 ( 0.690 %);   6650.777
L2-UNROLL4;        1024.000;           1.000;           0.001;      65536;        300;      781886.583;       75359.270;       75828.567;       75522.348;          94.081 ( 0.125 %);   6620.557
L3-UNROLL4;        8192.000;           8.000;           0.008;     524288;        300;     6984020.090;      623808.220;      802198.630;      634344.995;       35020.041 ( 5.521 %);   6305.717
