Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-UNROLL4   6641.432   87.193      6644.295   83.855      6650.777   64.824      26207.873  62.291
L2-UNROLL4   6609.850   94.537      6615.442   49.608      6620.557   94.081      24363.843  84.869
L3-UNROLL4   6398.223   766.094     6402.178   759.783     6305.717   35020.041   18550.895  660.064

