     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  L1-CBLAS;         128.000;           0.125;           0.000;       8192;        300;       70421.732;        9356.363;        9774.697;        9458.411;         117.351 ( 1.241 %);   6607.875
  L2-CBLAS;        1024.000;           1.000;           0.001;      65536;        300;      799305.044;       75541.150;       75839.993;       75745.017;          62.177 ( 0.082 %);   6601.094
  L3-CBLAS;        8192.000;           8.000;           0.008;     524288;        300;     6583843.298;      630176.797;      680793.807;      633712.836;        9338.540 ( 1.474 %);   6312.007
