     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  L1-CBLAS;         128.000;           0.125;           0.000;       8192;        300;       74104.375;        9356.513;        9736.810;        9460.754;         113.030 ( 1.195 %);   6606.239
  L2-CBLAS;        1024.000;           1.000;           0.001;      65536;        300;      831849.948;       75516.633;       75942.067;       75723.090;          69.668 ( 0.092 %);   6603.006
  L3-CBLAS;        8192.000;           8.000;           0.008;     524288;        300;    17640748.069;      629312.220;      651221.283;      631051.728;        3684.549 ( 0.584 %);   6338.625
