     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  L1-CBLAS;         128.000;           0.125;           0.000;       8192;        300;       84130.752;        9357.447;        9611.193;        9432.922;          85.566 ( 0.907 %);   6625.730
  L2-CBLAS;        1024.000;           1.000;           0.001;      65536;        300;     1330890.023;       75496.363;       75702.337;       75635.483;          46.345 ( 0.061 %);   6610.654
  L3-CBLAS;        8192.000;           8.000;           0.008;     524288;        300;     6160792.705;      629622.927;      633941.847;      630970.666;         845.100 ( 0.134 %);   6339.439
