     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1-OPENMP;         128.000;           0.125;           0.000;       8192;        300;       98288.785;        5531.083;        5920.200;        5586.910;          90.924 ( 1.627 %);  11186.863
 L2-OPENMP;        1024.000;           1.000;           0.001;      65536;        300;      827024.745;       38695.873;       38888.807;       38743.250;          43.780 ( 0.113 %);  12905.474
 L3-OPENMP;        8192.000;           8.000;           0.008;     524288;        300;     6893972.589;      323417.897;      326020.050;      324451.355;         512.431 ( 0.158 %);  12328.505
