     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1-OPENMP;         128.000;           0.125;           0.000;       8192;        300;       84874.983;       10253.883;       10535.493;       10311.325;          73.330 ( 0.711 %);   6061.297
 L2-OPENMP;        1024.000;           1.000;           0.001;      65536;        300;      691423.738;       76250.713;       76686.740;       76407.101;          67.127 ( 0.088 %);   6543.894
 L3-OPENMP;        8192.000;           8.000;           0.008;     524288;        300;     8453000.896;      623038.497;      839269.417;      634803.844;       41355.133 ( 6.515 %);   6301.159
