Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-OPENMP    6067.601   92.028      6054.714   126.808     6061.297   73.330      11186.863  90.924
L2-OPENMP    6533.313   84.445      6531.546   170.363     6543.894   67.127      12905.474  43.780
L3-OPENMP    6404.990   577.774     6409.633   586.505     6301.159   41355.133   12328.505  512.431

