     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - OPENMP;         128.000;           0.125;           0.000;       8192;         15;     1249467.344;       10163.200;       45315.067;       11515.394;        6150.262 (53.409 %);   5427.517
L2 - OPENMP;        1024.000;           1.000;           0.001;      65536;         15;     6992847.896;       76162.333;       81541.000;       77802.331;        1720.359 ( 2.211 %);   6426.543
L3 - OPENMP;        8192.000;           8.000;           0.008;     524288;         15;    76047094.466;      716610.600;      751451.867;      720991.329;        7459.430 ( 1.035 %);   5547.917
