     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - OPENMP;         128.000;           0.125;           0.000;       8192;         15;      515929.873;       21965.267;       56808.933;       23702.053;        6105.621 (25.760 %);   2636.902
L2 - OPENMP;        1024.000;           1.000;           0.001;      65536;         15;    11713528.294;      170549.267;      183465.200;      174544.733;        2350.366 ( 1.347 %);   2864.595
L3 - OPENMP;        8192.000;           8.000;           0.008;     524288;         15;   354236206.971;     1439439.667;     1500519.600;     1445137.541;       10091.093 ( 0.698 %);   2767.903
