Function        O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-OPENMP     5427.517  6150.262   5432.571  6131.611   5431.646  6105.621   5432.644  6105.621
L2-OPENMP     6426.543  1720.359   6418.062  1571.541   6434.263  1571.541   6417.527  1571.541
L3-OPENMP     5547.917  7459.430   5546.947  7678.653   5549.153  7678.653   5546.254  7678.653

