     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1-UNROLL8;         128.000;           0.125;           0.000;       8192;        300;      111763.463;        9329.900;        9638.110;        9404.546;          88.920 ( 0.946 %);   6645.722
L2-UNROLL8;        1024.000;           1.000;           0.001;      65536;        300;      723320.137;       75392.180;       75673.440;       75577.972;          59.018 ( 0.078 %);   6615.684
L3-UNROLL8;        8192.000;           8.000;           0.008;     524288;        300;     7243834.466;      623139.330;      642351.643;      625283.593;        3123.652 ( 0.500 %);   6397.097
