     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1-UNROLL8;         128.000;           0.125;           0.000;       8192;        300;       68617.750;        1420.730;        1880.187;        1456.686;          91.363 ( 6.272 %);  42905.598
L2-UNROLL8;        1024.000;           1.000;           0.001;      65536;        300;      830255.289;       13634.863;       14130.580;       13766.290;         117.816 ( 0.856 %);  36320.607
L3-UNROLL8;        8192.000;           8.000;           0.008;     524288;        300;     6803574.252;      165647.417;      169606.607;      167885.122;         862.455 ( 0.514 %);  23825.816
