Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-CBLAS     6629.408   288.661     6651.062  113.288     6533.547  901.412     6648.888  126.609
L2-CBLAS     6611.893   979.707     6601.747  1449.364    6604.350  1131.187    6611.271  991.796
L3-CBLAS     5806.500   4216.597    5845.268  2466.995    5790.316  4894.000    5803.932  3892.417

