     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - CBLAS;         128.000;           0.125;           0.000;       8192;         15;     2916488.384;        9366.867;       11006.133;        9427.689;         288.661 ( 3.062 %);   6629.408
L2 - CBLAS;        1024.000;           1.000;           0.001;      65536;         15;     5877341.774;       75091.867;       78185.467;       75621.305;         979.707 ( 1.296 %);   6611.893
L3 - CBLAS;        8192.000;           8.000;           0.008;     524288;         15;    85757202.585;      684324.267;      701219.867;      688883.178;        4216.597 ( 0.612 %);   5806.500
