     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - CBLAS;         128.000;           0.125;           0.000;       8192;         15;     1135128.008;        9367.333;       14546.067;        9566.014;         901.412 ( 9.423 %);   6533.547
L2 - CBLAS;        1024.000;           1.000;           0.001;      65536;         15;     6860710.628;       75091.467;       79216.667;       75707.675;        1131.187 ( 1.494 %);   6604.350
L3 - CBLAS;        8192.000;           8.000;           0.008;     524288;         15;    70002156.975;      685340.333;      706462.600;      690808.598;        4894.000 ( 0.708 %);   5790.316
