     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - CBLAS;         128.000;           0.125;           0.000;       8192;         15;      590232.983;        9367.933;        9940.400;        9396.996;         113.288 ( 1.206 %);   6651.062
L2 - CBLAS;        1024.000;           1.000;           0.001;      65536;         15;     7174321.961;       75091.467;       81536.667;       75737.527;        1449.364 ( 1.914 %);   6601.747
L3 - CBLAS;        8192.000;           8.000;           0.008;     524288;         15;    85820360.279;      682230.667;      694399.333;      684314.255;        2466.995 ( 0.361 %);   5845.268
