Function O3 O2 O1 Ofast

IJK 732.820 732.559 863.837 1200.531
IKJ 1392.377 779.279 835.296 1393.277
IEX 1600.789 828.653 771.937 1599.951
UNROLL4 1104.290 1225.029 1223.692 1104.559
UNROLL8 1111.256 936.268 1037.005 1111.533
CBLAS 743.027 737.977 734.274 745.631

