Function        O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-UNROLL4    6582.557  666.167    6647.262  226.476    6652.468  183.407    6654.077  91.360
L2-UNROLL4    6507.894  1876.262   6602.080  1413.385   6613.950  985.746    6594.008  1590.093
L3-UNROLL4    5707.024  7507.420   5839.395  2591.633   5849.773  2028.079   5829.831  2654.120

