     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - UNROLL4;         128.000;           0.125;           0.000;       8192;         15;      977293.706;        9360.733;       10416.600;        9395.010;         183.407 ( 1.952 %);   6652.468
L2 - UNROLL4;        1024.000;           1.000;           0.001;      65536;         15;     7188502.873;       75065.200;       78261.067;       75597.788;         985.746 ( 1.304 %);   6613.950
L3 - UNROLL4;        8192.000;           8.000;           0.008;     524288;         15;    67542732.976;      681324.200;      690216.733;      683787.184;        2028.079 ( 0.297 %);   5849.773
