     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1-OPENMP;         128.000;           0.125;           0.000;       8192;        300;       92069.516;       10160.940;       11915.113;       10276.937;         305.527 ( 2.973 %);   6081.579
 L2-OPENMP;        1024.000;           1.000;           0.001;      65536;        300;     1063937.548;       76377.323;       77054.793;       76604.759;         107.963 ( 0.141 %);   6527.010
 L3-OPENMP;        8192.000;           8.000;           0.008;     524288;        300;    14047162.561;      639158.983;      644718.247;      640449.339;        1299.222 ( 0.203 %);   6245.615
