     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1-OPENMP;         128.000;           0.125;           0.000;       8192;        300;       74058.430;       10166.977;       12259.967;       10295.546;         362.862 ( 3.524 %);   6070.586
 L2-OPENMP;        1024.000;           1.000;           0.001;      65536;        300;      876416.785;       76402.287;       77099.817;       76618.377;         116.954 ( 0.153 %);   6525.850
 L3-OPENMP;        8192.000;           8.000;           0.008;     524288;        300;     7396064.209;      640015.097;      642898.367;      641092.197;         683.381 ( 0.107 %);   6239.352
