Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-CBLAS     6628.677   82.338      6623.413   91.388      6629.173   70.596      6622.586  92.584
L2-CBLAS     6601.722   188.299     6604.443   192.299     6577.322   1982.409    6607.163  116.740
L3-CBLAS     6332.581   2597.834    6333.585   2468.611    6353.272   948.634     6331.197  2607.192

