     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  L1-CBLAS;         128.000;           0.125;           0.000;       8192;        300;      113082.863;        9356.673;        9663.740;        9437.401;          92.584 ( 0.981 %);   6622.586
  L2-CBLAS;        1024.000;           1.000;           0.001;      65536;        300;      784128.066;       75468.670;       76033.203;       75675.439;         116.740 ( 0.154 %);   6607.163
  L3-CBLAS;        8192.000;           8.000;           0.008;     524288;        300;     6697605.185;      630084.810;      643200.537;      631792.031;        2607.192 ( 0.413 %);   6331.197
