     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  L1-CBLAS;         128.000;           0.125;           0.000;       8192;        300;       91189.087;        9356.650;        9576.050;        9428.729;          82.338 ( 0.873 %);   6628.677
  L2-CBLAS;        1024.000;           1.000;           0.001;      65536;        300;      754976.220;       75503.650;       76473.520;       75737.820;         188.299 ( 0.249 %);   6601.722
  L3-CBLAS;        8192.000;           8.000;           0.008;     524288;        300;   160600298.924;      630377.837;      644168.073;      631653.957;        2597.834 ( 0.411 %);   6332.581
