     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1 - BASE;         128.000;           0.125;           0.000;       8192;         15;      523543.594;        2400.400;        2701.000;        2412.339;          52.376 ( 2.171 %);  25908.461
 L2 - BASE;        1024.000;           1.000;           0.001;      65536;         15;     8169444.555;       23201.800;       25097.267;       23521.867;         600.298 ( 2.552 %);  21256.816
 L3 - BASE;        8192.000;           8.000;           0.008;     524288;         15;   131033898.308;      378013.200;      403985.200;      384482.194;        5076.570 ( 1.320 %);  10403.603
