     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - UNROLL4;         128.000;           0.125;           0.000;       8192;         15;      469726.457;        9369.400;        9734.933;        9382.418;          63.420 ( 0.676 %);   6661.396
L2 - UNROLL4;        1024.000;           1.000;           0.001;      65536;         15;     5431054.265;       75065.667;       79501.600;       75607.566;        1159.823 ( 1.534 %);   6613.095
L3 - UNROLL4;        8192.000;           8.000;           0.008;     524288;         15;    62567832.834;      684304.267;      694218.933;      687470.335;        2748.632 ( 0.400 %);   5818.433
