Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-UNROLL4   6672.938   53.978      6661.396  63.420      6653.380  125.456     6653.380  125.456
L2-UNROLL4   6640.700   634.054     6613.095  1159.823    6609.560  1110.174    6609.560  1110.174
L3-UNROLL4   5906.962   4424.030    5818.433  2748.632    5827.200  2470.150    5827.200  2470.150

