     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - UNROLL4;         128.000;           0.125;           0.000;       8192;         15;      510146.278;        4700.533;        5119.600;        4721.232;          76.907 ( 1.629 %);  13238.069
L2 - UNROLL4;        1024.000;           1.000;           0.001;      65536;         15;    14656583.334;       38868.533;       45809.867;       39311.065;        1355.423 ( 3.448 %);  12719.065
L3 - UNROLL4;        8192.000;           8.000;           0.008;     524288;         15;   441065775.075;      436183.800;      469449.533;      446824.020;        7822.924 ( 1.751 %);   8952.070
