     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - UNROLL4;         128.000;           0.125;           0.000;       8192;         15;      528090.544;        9363.333;       10038.667;        9393.721;         125.456 ( 1.336 %);   6653.380
L2 - UNROLL4;        1024.000;           1.000;           0.001;      65536;         15;     7011663.318;       75068.067;       79098.867;       75647.998;        1110.174 ( 1.468 %);   6609.560
L3 - UNROLL4;        8192.000;           8.000;           0.008;     524288;         15;    78018079.933;      684366.400;      693076.000;      686436.073;        2470.150 ( 0.360 %);   5827.200
