Function   O3        O3-Error  O2        O2-Error  O1        O1-Error  Ofast     Ofast-Error
BASE       15372.296 426.381   15541.359 118.526   15799.813 93.771    21975.373 227.383
UNROLL4    15273.059 53.608    15282.794 44.473    15883.876 73.562    19724.881 229.635
UNROLL8    15299.123 53.241    15300.828 62.468    15520.203 38.904    13686.562 67.801
CBLAS      8890.734  609.382   8864.179  628.273   8677.934  650.094   8918.790  631.793
OPENMP     150.107   23.105    151.805   23.491    148.751   24.720    151.786   23.924

