     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
   L1-BASE;         128.000;           0.125;           0.000;       8192;        300;       83241.963;        9440.420;       10270.697;        9652.181;         206.895 ( 2.144 %);   6475.220
   L2-BASE;        1024.000;           1.000;           0.001;      65536;        300;      812562.529;       75423.787;       77266.880;       75946.017;         471.808 ( 0.621 %);   6583.624
   L3-BASE;        8192.000;           8.000;           0.008;     524288;        300;     6553840.437;      619475.573;      658275.537;      633931.621;        9528.720 ( 1.503 %);   6309.829
