     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
 L1 - BASE;         128.000;           0.125;           0.000;       8192;         15;     1290262.841;        4672.467;        5024.467;        4685.244;          61.140 ( 1.305 %);  13339.752
 L2 - BASE;        1024.000;           1.000;           0.001;      65536;         15;     6218999.407;       37531.933;       44754.333;       38412.244;        1754.096 ( 4.567 %);  13016.683
 L3 - BASE;        8192.000;           8.000;           0.008;     524288;         15;  1581836301.368;      399940.267;      433182.800;      408929.982;        7113.043 ( 1.739 %);   9781.626
