Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-BASE        6658.844   5.665       6564.367   62.660      6293.017   569.473     8359.286   284.729
L2-BASE        6663.624   5.442       6634.974   6.627       6451.981   194.885     13269.479  71.189
L3-BASE        6667.042   4.377       6636.546   7.451       6439.515   79.062      12054.333  421.870

