     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
L1 - CBLAS;         128.000;           0.125;           0.000;       8192;         15;      445671.005;        9367.200;        9932.400;        9402.788;         117.095 ( 1.245 %);   6646.965
L2 - CBLAS;        1024.000;           1.000;           0.001;      65536;         15;    22919567.069;       75091.800;       82158.267;       75826.988;        1593.468 ( 2.101 %);   6593.958
L3 - CBLAS;        8192.000;           8.000;           0.008;     524288;         15;   119186856.124;      685125.733;      694038.533;      687685.628;        2119.636 ( 0.308 %);   5816.611
