Function       O3        O3-Error    O2        O2-Error    O1        O1-Error    Ofast     Ofast-Error
L1-CBLAS     6646.965  117.095    6653.642  103.212    6654.077  91.360     6658.147  76.252
L2-CBLAS     6593.958  1593.468   6599.419  1443.171   6594.008  1590.093   6611.406  1601.763
L3-CBLAS     5816.611  2119.636   5812.160  2569.863   5829.831  2654.120   5848.202  5091.687

