Function O3        O3-Error  O2        O2-Error  O1        O1-Error  Ofast     Ofast-Error
BASE     9939.631  29.016    15381.296 88.347    14715.433 31.511    21997.614 123.891
UNROLL4  15019.762 38.150    14699.252 38.222    14701.970 51.935    11366.378 15.686
UNROLL8  14847.338 24.211    14899.177 36.655    12428.996 22.123    14182.162 83.228
CBLAS    8774.742  592.002   8790.162  528.962   8364.059  602.931   8696.193  603.672
OPENMP   150.103   2.124     149.765   2.656     150.050   1.899     150.927   1.918

